X,Y,OBJECTID,INCIDENT_NUMBER,INCIDENT_TYPE,INCIDENT_DATE,INCIDENT_YEAR,REPORTING_DISTRICT,INCIDENT_LOCATION,CITY,STATE,ZIP,HANDLING_UNIT_ID,HANDLING_UNIT_NAME,HIT_SHOOTING,NON_HIT_SHOOTING,ANIMAL_SHOOTING,OTHER_SHOOTING,UNINTENTIONAL_DISCHARGE,WARNING_SHOT,APPROX_LATITUDE,APPROX_LONGITUDE
-118.407803273,34.6257404020001,91,1000085,ANIMAL SHOOTING INCIDENT,2012/05/26 15:30:00+00,2012,2655,SAN FRANCISQUITO ROAD,GREEN VALLEY,CA,91390,PKB,PARKS BUREAU,,,1,,,,34.6257404017,-118.4078032725
-117.969157882,34.087997687,92,1000086,ANIMAL SHOOTING INCIDENT,2012/06/01 07:15:00+00,2012,1510,4200 STEWART AVENUE,BALDWIN PARK,CA,91706,PRV,PICO RIVERA STN,,,1,,,,34.0879976873,-117.9691578817
-118.229001762,33.931010407,93,1000087,ANIMAL SHOOTING INCIDENT,2012/06/05 15:24:00+00,2012,2135,2400 E. 114TH STREET,LOS ANGELES,CA,90059,CEN,CENTURY STN,,,1,,,,33.9310104071,-118.2290017619
-118.146230395,34.1779984390001,94,1000088,ANIMAL SHOOTING INCIDENT,2012/06/06 09:35:00+00,2012,0799,1900 N. MARENGO AVENUE,PASADENA,CA,91103,COP,COPS BUREAU,,,1,,,,34.1779984387,-118.146230395
-118.118056228,33.9429238450001,95,1000089,ANIMAL SHOOTING INCIDENT,2012/06/25 14:45:00+00,2012,3613,10400 VULTEE AVENUE,DOWNEY,CA,90241,NARCO,NARCOTICS BUREAU,,,1,,,,33.9429238449,-118.1180562277
-118.248428324,33.828998418,96,1000090,ANIMAL SHOOTING INCIDENT,2012/06/29 23:29:59+00,2012,1620,21900 S. VERA STREET,CARSON,CA,90745,CSN,CARSON STATION,,,1,,,,33.828998418,-118.248428324
-118.041863432,34.5521284330001,97,1000091,ANIMAL SHOOTING INCIDENT,2012/07/05 13:30:00+00,2012,2611,4900 SUNBURST DRIVE,PALMDALE,CA,93552,OSS,OPERATION SAFE STREETS BUREAU,,,1,,,,34.5521284326,-118.0418634325
-118.118003092,34.7041224180001,98,1000092,ANIMAL SHOOTING INCIDENT,2012/07/10 07:25:00+00,2012,1132,AVENUE I AND RODIN,LANCASTER,CA,93535,LCS,LANCASTER STN,,,1,,,,34.7041224178,-118.1180030924
-118.217003586,34.660256765,99,1000093,ANIMAL SHOOTING INCIDENT,2012/07/19 22:30:00+00,2012,1182,4800 W. AVENUE L 13,QUARTZ HILL,CA,93536,LCS,LANCASTER STN,,,1,,,,34.660256765,-118.2170035862
-118.36418415,33.901999995,100,1000094,ANIMAL SHOOTING INCIDENT,2012/07/26 10:08:00+00,2012,2199,4900 W. 142ND STREET,HAWTHORNE,CA,90250,CEN,CENTURY STN,,,1,,,,33.901999995,-118.3641841503
-118.302000143,33.9590170290001,101,1000095,ANIMAL SHOOTING INCIDENT,2012/07/31 11:15:00+00,2012,3661,1500 W. 87TH STREET,LOS ANGELES,CA,90047,NARCO,NARCOTICS BUREAU,,,1,,,,33.9590170288,-118.3020001428
-118.234020804,33.911997506,102,1000096,ANIMAL SHOOTING INCIDENT,2012/08/15 19:20:00+00,2012,2137,2100 KNOPF STREET,COMPTON,CA,90222,CEN,CENTURY STN,,,1,,,,33.9119975062,-118.2340208043
-117.973881815,34.048913907,103,1000097,ANIMAL SHOOTING INCIDENT,2012/08/20 21:24:59+00,2012,1430,800 TAMAR DRIVE,LA PUENTE,CA,91746,IDT,INDUSTRY STN,,,1,,,,34.0489139068,-117.9738818152
