Price,Size,Lon,Lat,ZIP
"$2,850",810ft2,-118.40106334693878,34.02333328571429,90232
$660,130ft2,-117.8067257,34.1066756,91750
"$2,143",656ft2,-118.5361872244898,34.241411224489795,91324
"$3,895",1290ft2,-118.5010456,34.1938237,91406
"$2,250",478ft2,-118.2521002,34.047996,90013
"$2,499",901ft2,-118.05540636076186,33.90591818324376,90650
"$1,325",350ft2,-118.191604,33.7690164,90803
"$2,060",450ft2,-118.3161262,34.1148012,90068
"$3,554",1306ft2,-118.588921,34.184485,91367
"$1,950",844ft2,-118.1435106973105,34.67049049633176,93534
$600,100ft2,-118.36454561390488,33.9449271,90304
"$1,890",700ft2,-118.45099284249528,34.2507302,91345
"$2,470",774ft2,-73.68100245,40.591266950000005,11561
"$3,695",1700ft2,-118.3415105,34.1010753,90028
"$7,500",2582ft2,-118.3747521,34.1649502,91601
"$2,300",750ft2,-118.25148718346148,34.23259955,91214
"$3,495",1600ft2,-118.35773977206304,34.0725841,90036
"$3,000",950ft2,-118.4993248,34.2109337,91406
"$1,850",750ft2,-118.242766,34.0536909,90012
"$3,000",950ft2,-118.4993248,34.2109337,91406
"$1,695",600ft2,-73.6765187,40.7809343,11030
"$3,000",950ft2,-118.4993248,34.2109337,91406
"$3,285",1154ft2,-118.542586,34.3916641,91321
"$3,000",950ft2,-118.242766,34.0536909,90012
"$3,383",870ft2,-118.242766,34.0536909,90012
"$2,247",701ft2,-105.4630437935865,44.2216189,82718
"$5,650",674ft2,-118.491227,34.0194704,90401
"$3,977",1463ft2,-118.3961877,34.1483989,91604
"$2,159",830ft2,-118.177701,34.113137,90042
"$2,495",600ft2,-118.2875062,34.1076561,90027
"$2,612",414ft2,-118.3834336457452,34.08691295,90069
"$2,550",580ft2,-118.431131,34.153143,91423
"$2,419",470ft2,-118.242766,34.0536909,90012
"$2,720",655ft2,-118.4158341,34.0133412,90066
"$2,768",700ft2,-118.44685070595054,34.070877749999994,90095
"$5,650",680ft2,-118.491227,34.0194704,90401
"$3,260",1176ft2,-118.612108,34.1805799,91367
"$2,350",937ft2,-118.4486675,34.1866193,91401
"$1,495",500ft2,-118.31234551020408,34.07278073469388,90004
"$2,000",3000ft2,-118.307201,34.1812089,91502
"$4,195",200ft2,-118.48466671894872,34.221748000000005,91343
"$2,331",382ft2,-118.49040103913524,34.018776354676696,90401
"$2,900",850ft2,-78.9825288,35.0501631,28314
"$2,838",603ft2,-118.4998204,34.2148853,91406
"$2,415",425ft2,-118.2623924,34.1186975,90039
"$3,998",1430ft2,-118.612108,34.1805799,91367
"$1,320",250ft2,-82.3247742,23.0888462,11000
"$1,400",216ft2,-118.430254,34.0468546,90025
"$1,982",650ft2,-118.3961877,34.1483989,91604
"$3,160",788ft2,-118.3961877,34.1483989,91604
"$1,495",900ft2,-118.4156337,33.917028,90245
"$2,729",1080ft2,121.7141386,17.6210145,3500
$650,120ft2,-118.191604,33.7690164,90803
"$1,500",1380ft2,-118.31263737074612,33.92753390048512,90047
"$2,295",792ft2,-118.5361872244898,34.241411224489795,91324
"$1,650",1000ft2,-118.3767660046168,34.0938564,90069
"$2,060",450ft2,-118.3161262,34.1148012,90068
"$2,023",1080ft2,-118.1571396,34.6834923,93534
"$4,495",1480ft2,-118.396466,34.0211224,90232
"$1,595",475ft2,-118.31085377419356,34.084985548387095,90038
"$2,395",900ft2,-118.242766,34.0536909,90012
"$3,450",1600ft2,-118.3739591,34.0829748,90069
"$2,335",352ft2,-118.2623924,34.1186975,90039
"$2,878",931ft2,-118.2484316,33.8468505,90746
$750,150ft2,-117.905339,33.9761238,91748
"$2,125",650ft2,-118.506751,34.221426,91325
"$3,223",800ft2,-118.242766,34.0536909,90012
"$4,220",1090ft2,-118.453755,33.968839,90296
$500,970ft2,-115.148516,36.1672559,89101
"$2,850",810ft2,-118.40106334693878,34.02333328571429,90232
"$2,595",655ft2,-118.4158341,34.0133412,90066
"$2,200",750ft2,-4.1565744,55.742176,G75 0RR
"$1,795",470ft2,-118.290485,33.8098085,90710
"$2,007",1080ft2,-118.1571396,34.6834923,93534
"$2,070",498ft2,-118.2521002,34.047996,90013
"$3,199",1119ft2,-118.22407287755102,34.08275155102041,90031
"$5,690",1210ft2,8.9041135,46.4063747,6749
"$3,558",793ft2,-118.242766,34.0536909,90012
"$2,095",450ft2,-118.3715162,34.1417987,91604
"$2,095",740ft2,-118.59143265306125,34.2282813877551,91304
"$3,800",805ft2,8.9041135,46.4063747,6749
"$3,275",865ft2,8.9041135,46.4063747,6749
"$4,235",1371ft2,-88.3847163,44.8751452,54124
"$2,581",917ft2,-118.60660503062986,34.247065622139914,91311
"$1,799",630ft2,-118.532237,34.2299673877551,91325
"$2,163",610ft2,-73.68100245,40.591266950000005,11561
"$1,395",375ft2,-90.5592756,14.6307001,01007
"$2,661",1050ft2,-105.4630437935865,44.2216189,82718
$175,90ft2,-118.2875062,34.1076561,90027
"$2,232",675ft2,-118.307201,34.1812089,91502
"$2,295",376ft2,-118.43623,34.28597104166666,91340
"$1,850",700ft2,-118.4489865,34.1508718,91403
"$2,199",625ft2,-118.111975,34.0159398,90640
"$3,800",976ft2,8.9041135,46.4063747,6749
"$3,253",916ft2,-118.22407287755102,34.08275155102041,90031
"$2,500",700ft2,-90.5592756,14.6307001,01007
"$3,080",710ft2,-118.396466,34.0211224,90232
"$2,406",902ft2,121.7141386,17.6210145,3500
"$3,862",1166ft2,-118.242766,34.0536909,90012
"$1,950",844ft2,-118.1435106973105,34.67049049633176,93534
"$1,500",988ft2,-118.1171108,34.5793131,93550
